Fold,Train_N,Test_N,Train_r,Test_r,Weight_RTT,Weight_UTIL
1,313,80,0.7528459330170838,0.8193329379125738,0.563440423143511,0.436559576856489
2,314,79,0.7766509724893281,0.7464183870575611,0.6556873843357658,0.34431261566423427
3,315,78,0.7806364339911397,0.7118182443098618,0.575297611992682,0.424702388007318
4,315,78,0.7594799203313705,0.7836590104044684,0.5406777196735768,0.45932228032642314
5,315,78,0.767216706591207,0.7624728815507549,0.5949613775461311,0.40503862245386885
