Generation,Best_Pearson_r,Population_Mean_r,Weight_RTT,Weight_UTIL
1,0.7663762859327563,0.7274624441899731,0.5834876143451218,0.4165123856548782
2,0.7663791462619777,0.7629089344868447,0.5801717372607456,0.4198282627392545
3,0.7663794384222994,0.7657472072072457,0.5809448060689426,0.41905519393105745
4,0.7663794384222994,0.7657244267640041,0.5809448060689426,0.41905519393105745
5,0.7663794384222994,0.7658545152734064,0.5809448060689426,0.41905519393105745
6,0.7663794384222994,0.7657919350662483,0.5809448060689426,0.41905519393105745
7,0.7663794384224736,0.7658566771817215,0.5809451693778392,0.41905483062216076
8,0.7663794384225187,0.765828102435953,0.5809455146697028,0.4190544853302972
9,0.7663794384225187,0.7659482752976956,0.5809455146697028,0.4190544853302972
10,0.7663794384225193,0.7659225183922129,0.5809455006835702,0.4190544993164299
11,0.7663794384225198,0.7658370171430626,0.5809454916179342,0.41905450838206576
12,0.76637943842252,0.7658424400050043,0.5809454868978189,0.4190545131021812
13,0.7663794384225201,0.7658869232730809,0.5809454876811648,0.4190545123188352
14,0.7663794384225202,0.7658908264973647,0.5809454826505062,0.41905451734949384
15,0.7663794384225202,0.7659477766906576,0.5809454826505062,0.41905451734949384
16,0.7663794384225202,0.7658795110751007,0.5809454826505062,0.41905451734949384
17,0.7663794384225202,0.7658936291272848,0.5809454826505062,0.41905451734949384
18,0.7663794384225202,0.7660190560883011,0.5809454826505062,0.41905451734949384
19,0.7663794384225202,0.7659134626195236,0.5809454826505062,0.41905451734949384
20,0.7663794384225202,0.7659996036039081,0.5809454826505062,0.41905451734949384
21,0.7663794384225202,0.7658034526844529,0.5809454826505062,0.41905451734949384
22,0.7663794384225202,0.7659005761872877,0.5809454826505062,0.41905451734949384
23,0.7663794384225202,0.7657733810160954,0.5809454826505062,0.41905451734949384
24,0.7663794384225202,0.7660027512636167,0.5809454826505062,0.41905451734949384
25,0.7663794384225203,0.7658846770983398,0.5809454832250976,0.4190545167749023
26,0.7663794384225203,0.7659379430970492,0.5809454832250976,0.4190545167749023
27,0.7663794384225203,0.7659097260523604,0.5809454832250976,0.4190545167749023
28,0.7663794384225203,0.7659416081737508,0.5809454832250976,0.4190545167749023
29,0.7663794384225203,0.7659043699914745,0.5809454832250976,0.4190545167749023
30,0.7663794384225203,0.7658925807376178,0.5809454832250976,0.4190545167749023
31,0.7663794384225203,0.7660324870906086,0.5809454832250976,0.4190545167749023
32,0.7663794384225203,0.765997809143576,0.5809454832250976,0.4190545167749023
