비교,Pearson_r
동일가중치,0.7631712123487079
GA 전체학습,0.7663794384225195
GA 5-fold OOF,0.7616211843046455
GA 세션단위 OOF,0.7146225458350001
혼잡_RTT단일,0.6959027221242816
혼잡_UTIL단일,0.6339697910386848
