환경,방식,원표본수,유효표본수,정상상태수,혼잡상태수,Pearson_r,Pearson_95CI_Low,Pearson_95CI_High,Spearman_rho,Delta_vs_RSSI_95CI_Low,Delta_vs_RSSI_95CI_High,Delta_vs_APQI_95CI_Low,Delta_vs_APQI_95CI_High,Delta_vs_RSSI_r,Delta_vs_APQI_r
RSSI 변화 환경,기존 RSSI,319,312,298,14,0.8174644646463449,0.7803948912431652,0.8543077943982958,0.6805633094603281,0.0,0.0,0.02349195720972026,0.09785517118476096,0.0,0.058262164462534405
RSSI 변화 환경,래퍼런스 APQI,319,312,298,14,0.7592023001838105,0.7115106183081104,0.8087551301915947,0.7432790517185557,-0.09938906210269917,-0.026101668885126886,0.0,0.0,-0.058262164462534405,0.0
RSSI 변화 환경,GA HOPE,319,312,298,14,0.7946405835125715,0.7532546871247753,0.8366670177566013,0.6659140552384203,-0.047121646928297505,-0.004172381408409645,-0.003424446783184548,0.07420344421697053,-0.022823881133773427,0.03543828332876098
RSSI 양호·혼잡 환경,기존 RSSI,81,81,23,58,0.2217037063248852,0.014971293809792625,0.4066024961393747,0.2131020037421155,0.0,0.0,-0.5376576439288753,-0.09655235596272646,0.0,-0.30804502840911874
RSSI 양호·혼잡 환경,래퍼런스 APQI,81,81,23,58,0.529748734734004,0.35437596914673564,0.6806657642495072,0.5549851032886499,0.07398208906759947,0.5289612369985032,0.0,0.0,0.30804502840911874,0.0
RSSI 양호·혼잡 환경,GA HOPE,81,81,23,58,0.5858500280440864,0.42703826841748005,0.7124394311319797,0.5728570926937502,0.15156296174074274,0.5754570238111096,-0.0642536616173992,0.17898216117876087,0.36414632171920114,0.0561012933100824
혼합환경,기존 RSSI,400,393,321,72,0.7034291601936721,0.6629030229893154,0.7435098498787185,0.6712047405281635,0.0,0.0,-0.042712597621125656,0.05497414709499767,0.0,0.003367896257824854
혼합환경,래퍼런스 APQI,400,393,321,72,0.7000612639358472,0.6541040160421709,0.7473527333066922,0.7083623240795506,-0.055626772093257275,0.04313365189735825,0.0,0.0,-0.003367896257824854,0.0
혼합환경,GA HOPE,400,393,321,72,0.7663794384225195,0.7293119917347125,0.8042452995352848,0.7421206636021788,0.02774792435874922,0.0960716476200502,0.026495890346126576,0.1083177326447742,0.06295027822884747,0.06631817448667232
