Source_Sheet,Source_Excel_Row,RSSI_dBm,Link_Mbps,UTIL_percent,RTT_ms,PacketLoss_percent,Upload_Mbps,Download_Mbps,제외사유
FREE1_1H_R2,2,-76,458.75,76,36,20.0,0.9638,1.3479,패킷손실률 측정 오류
NATURAL_1H_R1,2,-80,960.75,78,3,26.6667,12.3439,8.6011,패킷손실률 측정 오류
